% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0352143	1	1	3	3.21644e-14	67.8086	0
0.0352143	1	2	2	2.17161e-13	457.816	0
0.0352143	1	3	1	6.96968e-14	146.934	0
0.0362143	1	1	3	3.21653e-14	67.8103	0
0.0362143	1	2	2	2.17168e-13	457.83	0
0.0362143	1	3	1	6.96891e-14	146.917	0
0.0372143	1	1	3	3.21661e-14	67.812	0
0.0372143	1	2	2	2.17175e-13	457.844	0
0.0372143	1	3	1	6.96813e-14	146.901	0
0.0382143	1	1	3	3.21669e-14	67.8137	0
0.0382143	1	2	2	2.17181e-13	457.859	0
0.0382143	1	3	1	6.96735e-14	146.885	0
0.0392143	1	1	3	3.21677e-14	67.8154	0
0.0392143	1	2	2	2.17188e-13	457.873	0
0.0392143	1	3	1	6.96657e-14	146.868	0
0.0402143	1	1	3	3.21685e-14	67.8171	0
0.0402143	1	2	2	2.17195e-13	457.887	0
0.0402143	1	3	1	6.96579e-14	146.852	0
0.0412143	1	1	3	3.21693e-14	67.8188	0
0.0412143	1	2	2	2.17201e-13	457.901	0
0.0412143	1	3	1	6.96501e-14	146.835	0
0.0422143	1	1	3	3.21701e-14	67.8204	0
0.0422143	1	2	2	2.17208e-13	457.915	0
0.0422143	1	3	1	6.96424e-14	146.819	0
0.0432143	1	1	3	3.21709e-14	67.8221	0
0.0432143	1	2	2	2.17215e-13	457.929	0
0.0432143	1	3	1	6.96346e-14	146.803	0
0.0442143	1	1	3	3.21717e-14	67.8238	0
0.0442143	1	2	2	2.17221e-13	457.943	0
0.0442143	1	3	1	6.96268e-14	146.786	0
0.0452143	1	1	3	3.21725e-14	67.8255	0
0.0452143	1	2	2	2.17228e-13	457.957	0
0.0452143	1	3	1	6.9619e-14	146.77	0
0.0462143	1	1	3	3.21733e-14	67.8272	0
0.0462143	1	2	2	2.17235e-13	457.971	0
0.0462143	1	3	1	6.96112e-14	146.753	0
0.0472143	1	1	3	3.21741e-14	67.8289	0
0.0472143	1	2	2	2.17242e-13	457.985	0
0.0472143	1	3	1	6.96035e-14	146.737	0
0.0482143	1	1	3	3.21749e-14	67.8306	0
0.0482143	1	2	2	2.17248e-13	457.999	0
0.0482143	1	3	1	6.95957e-14	146.721	0
0.0492143	1	1	3	3.21757e-14	67.8323	0
0.0492143	1	2	2	2.17255e-13	458.013	0
0.0492143	1	3	1	6.95879e-14	146.704	0
0.0502143	1	1	3	3.21765e-14	67.834	0
0.0502143	1	2	2	2.17262e-13	458.028	0
0.0502143	1	3	1	6.95802e-14	146.688	0
0.0512143	1	1	3	3.21773e-14	67.8357	0
0.0512143	1	2	2	2.17268e-13	458.042	0
0.0512143	1	3	1	6.95724e-14	146.671	0
0.0522143	1	1	3	3.21781e-14	67.8374	0
0.0522143	1	2	2	2.17275e-13	458.056	0
0.0522143	1	3	1	6.95646e-14	146.655	0
0.0532143	1	1	3	3.21789e-14	67.8391	0
0.0532143	1	2	2	2.17282e-13	458.07	0
0.0532143	1	3	1	6.95569e-14	146.639	0
0.0542143	1	1	3	3.21797e-14	67.8407	0
0.0542143	1	2	2	2.17288e-13	458.084	0
0.0542143	1	3	1	6.95491e-14	146.622	0
0.0552143	1	1	3	3.21805e-14	67.8424	0
0.0552143	1	2	2	2.17295e-13	458.098	0
0.0552143	1	3	1	6.95413e-14	146.606	0
0.0562143	1	1	3	3.21813e-14	67.8441	0
0.0562143	1	2	2	2.17301e-13	458.112	0
0.0562143	1	3	1	6.95336e-14	146.59	0
0.0572143	1	1	3	3.21821e-14	67.8458	0
0.0572143	1	2	2	2.17308e-13	458.126	0
0.0572143	1	3	1	6.95258e-14	146.573	0
0.0582143	1	1	3	3.21829e-14	67.8475	0
0.0582143	1	2	2	2.17315e-13	458.14	0
0.0582143	1	3	1	6.9518e-14	146.557	0
0.0592143	1	1	3	3.21837e-14	67.8492	0
0.0592143	1	2	2	2.17321e-13	458.154	0
0.0592143	1	3	1	6.95103e-14	146.541	0
0.0602143	1	1	3	3.21845e-14	67.8509	0
0.0602143	1	2	2	2.17328e-13	458.168	0
0.0602143	1	3	1	6.95025e-14	146.524	0
0.0612143	1	1	3	3.21853e-14	67.8526	0
0.0612143	1	2	2	2.17335e-13	458.182	0
0.0612143	1	3	1	6.94948e-14	146.508	0
0.0622143	1	1	3	3.21861e-14	67.8543	0
0.0622143	1	2	2	2.17341e-13	458.196	0
0.0622143	1	3	1	6.9487e-14	146.491	0
0.0632143	1	1	3	3.21869e-14	67.856	0
0.0632143	1	2	2	2.17348e-13	458.21	0
0.0632143	1	3	1	6.94792e-14	146.475	0
0.0642143	1	1	3	3.21877e-14	67.8577	0
0.0642143	1	2	2	2.17355e-13	458.224	0
0.0642143	1	3	1	6.94715e-14	146.459	0
0.0652143	1	1	3	3.21885e-14	67.8594	0
0.0652143	1	2	2	2.17361e-13	458.238	0
0.0652143	1	3	1	6.94637e-14	146.442	0
0.0662143	1	1	3	3.21893e-14	67.8611	0
0.0662143	1	2	2	2.17368e-13	458.252	0
0.0662143	1	3	1	6.9456e-14	146.426	0
0.0672143	1	1	3	3.21901e-14	67.8627	0
0.0672143	1	2	2	2.17375e-13	458.266	0
0.0672143	1	3	1	6.94482e-14	146.41	0
0.0682143	1	1	3	3.21909e-14	67.8644	0
0.0682143	1	2	2	2.17381e-13	458.28	0
0.0682143	1	3	1	6.94405e-14	146.393	0
0.0692143	1	1	3	3.21917e-14	67.8661	0
0.0692143	1	2	2	2.17388e-13	458.294	0
0.0692143	1	3	1	6.94327e-14	146.377	0
0.0702143	1	1	3	3.21925e-14	67.8678	0
0.0702143	1	2	2	2.17394e-13	458.308	0
0.0702143	1	3	1	6.9425e-14	146.361	0
0.0712143	1	1	3	3.21933e-14	67.8695	0
0.0712143	1	2	2	2.17401e-13	458.322	0
0.0712143	1	3	1	6.94172e-14	146.344	0
0.0722143	1	1	3	3.21941e-14	67.8712	0
0.0722143	1	2	2	2.17408e-13	458.336	0
0.0722143	1	3	1	6.94095e-14	146.328	0
0.0732143	1	1	3	3.21949e-14	67.8729	0
0.0732143	1	2	2	2.17414e-13	458.35	0
0.0732143	1	3	1	6.94018e-14	146.312	0
0.0742143	1	1	3	3.21957e-14	67.8746	0
0.0742143	1	2	2	2.17421e-13	458.364	0
0.0742143	1	3	1	6.9394e-14	146.295	0
0.0752143	1	1	3	3.21965e-14	67.8763	0
0.0752143	1	2	2	2.17428e-13	458.377	0
0.0752143	1	3	1	6.93863e-14	146.279	0
0.0762143	1	1	3	3.21974e-14	67.878	0
0.0762143	1	2	2	2.17434e-13	458.391	0
0.0762143	1	3	1	6.93785e-14	146.263	0
0.0772143	1	1	3	3.21982e-14	67.8797	0
0.0772143	1	2	2	2.17441e-13	458.405	0
0.0772143	1	3	1	6.93708e-14	146.246	0
0.0782143	1	1	3	3.2199e-14	67.8814	0
0.0782143	1	2	2	2.17447e-13	458.419	0
0.0782143	1	3	1	6.93631e-14	146.23	0
0.0792143	1	1	3	3.21998e-14	67.8831	0
0.0792143	1	2	2	2.17454e-13	458.433	0
0.0792143	1	3	1	6.93553e-14	146.214	0
0.0802143	1	1	3	3.22006e-14	67.8848	0
0.0802143	1	2	2	2.17461e-13	458.447	0
0.0802143	1	3	1	6.93476e-14	146.198	0
0.0812143	1	1	3	3.22014e-14	67.8864	0
0.0812143	1	2	2	2.17467e-13	458.461	0
0.0812143	1	3	1	6.93398e-14	146.181	0
0.0822143	1	1	3	3.22022e-14	67.8881	0
0.0822143	1	2	2	2.17474e-13	458.475	0
0.0822143	1	3	1	6.93321e-14	146.165	0
0.0832143	1	1	3	3.2203e-14	67.8898	0
0.0832143	1	2	2	2.1748e-13	458.489	0
0.0832143	1	3	1	6.93244e-14	146.149	0
0.0842143	1	1	3	3.22038e-14	67.8915	0
0.0842143	1	2	2	2.17487e-13	458.503	0
0.0842143	1	3	1	6.93167e-14	146.132	0
0.0852143	1	1	3	3.22046e-14	67.8932	0
0.0852143	1	2	2	2.17494e-13	458.517	0
0.0852143	1	3	1	6.93089e-14	146.116	0
0.0862143	1	1	3	3.22054e-14	67.8949	0
0.0862143	1	2	2	2.175e-13	458.531	0
0.0862143	1	3	1	6.93012e-14	146.1	0
0.0872143	1	1	3	3.22062e-14	67.8966	0
0.0872143	1	2	2	2.17507e-13	458.544	0
0.0872143	1	3	1	6.92935e-14	146.083	0
0.0882143	1	1	3	3.2207e-14	67.8983	0
0.0882143	1	2	2	2.17513e-13	458.558	0
0.0882143	1	3	1	6.92857e-14	146.067	0
0.0892143	1	1	3	3.22078e-14	67.9	0
0.0892143	1	2	2	2.1752e-13	458.572	0
0.0892143	1	3	1	6.9278e-14	146.051	0
0.0902143	1	1	3	3.22086e-14	67.9017	0
0.0902143	1	2	2	2.17526e-13	458.586	0
0.0902143	1	3	1	6.92703e-14	146.035	0
0.0912143	1	1	3	3.22094e-14	67.9034	0
0.0912143	1	2	2	2.17533e-13	458.6	0
0.0912143	1	3	1	6.92626e-14	146.018	0
0.0922143	1	1	3	3.22102e-14	67.9051	0
0.0922143	1	2	2	2.1754e-13	458.614	0
0.0922143	1	3	1	6.92548e-14	146.002	0
0.0932143	1	1	3	3.2211e-14	67.9068	0
0.0932143	1	2	2	2.17546e-13	458.628	0
0.0932143	1	3	1	6.92471e-14	145.986	0
0.0942143	1	1	3	3.22118e-14	67.9085	0
0.0942143	1	2	2	2.17553e-13	458.641	0
0.0942143	1	3	1	6.92394e-14	145.969	0
0.0952143	1	1	3	3.22126e-14	67.9102	0
0.0952143	1	2	2	2.17559e-13	458.655	0
0.0952143	1	3	1	6.92317e-14	145.953	0
0.0962143	1	1	3	3.22134e-14	67.9118	0
0.0962143	1	2	2	2.17566e-13	458.669	0
0.0962143	1	3	1	6.9224e-14	145.937	0
0.0972143	1	1	3	3.22142e-14	67.9135	0
0.0972143	1	2	2	2.17572e-13	458.683	0
0.0972143	1	3	1	6.92163e-14	145.921	0
0.0982143	1	1	3	3.2215e-14	67.9152	0
0.0982143	1	2	2	2.17579e-13	458.697	0
0.0982143	1	3	1	6.92085e-14	145.904	0
0.0992143	1	1	3	3.22158e-14	67.9169	0
0.0992143	1	2	2	2.17586e-13	458.711	0
0.0992143	1	3	1	6.92008e-14	145.888	0
0.100214	1	1	3	3.22166e-14	67.9186	0
0.100214	1	2	2	2.17592e-13	458.724	0
0.100214	1	3	1	6.91931e-14	145.872	0
0.101214	1	1	3	3.22174e-14	67.9203	0
0.101214	1	2	2	2.17599e-13	458.738	0
0.101214	1	3	1	6.91854e-14	145.856	0
0.102214	1	1	3	3.22182e-14	67.922	0
0.102214	1	2	2	2.17605e-13	458.752	0
0.102214	1	3	1	6.91777e-14	145.839	0
0.103214	1	1	3	3.2219e-14	67.9237	0
0.103214	1	2	2	2.17612e-13	458.766	0
0.103214	1	3	1	6.917e-14	145.823	0
0.104214	1	1	3	3.22198e-14	67.9254	0
0.104214	1	2	2	2.17618e-13	458.78	0
0.104214	1	3	1	6.91623e-14	145.807	0
0.105214	1	1	3	3.22207e-14	67.9271	0
0.105214	1	2	2	2.17625e-13	458.794	0
